ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual,ride_length,week_day,month,hour,day_type
3B7765864BCE0944,docked_bike,3/27/2020 12:05,3/27/2020 12:14,Marine Dr & Ainslie St,465,Clarendon Ave & Leland Ave,251,41.9716,-87.6502,41.968,-87.65,member,9,Fri,Mar,12,Weekday
CB85E7C4B1202597,docked_bike,8/14/2020 18:26,8/14/2020 18:52,St. Clair St & Erie St,211,Southport Ave & Wrightwood Ave,190,41.894448,-87.622663,41.928773,-87.663913,member,26,Fri,Aug,18,Weekday
A6ED7B9AF8D07E61,docked_bike,9/25/2020 23:28,9/25/2020 23:32,Kimbark Ave & 53rd St,322,Blackstone Ave & Hyde Park Blvd,121,41.799568,-87.594747,41.802562,-87.590368,casual,4,Fri,Sep,23,Weekday
B7988E61F44711F6,docked_bike,9/4/2020 14:13,9/4/2020 14:22,Ogden Ave & Race Ave,186,Damen Ave & Chicago Ave,128,41.891795,-87.658751,41.895769,-87.67722,casual,9,Fri,Sep,14,Weekday
EE528714B455E9A3,docked_bike,9/25/2020 9:46,9/25/2020 9:48,Calumet Ave & 33rd St,149,State St & 33rd St,148,41.8349,-87.61793,41.834734,-87.625813,member,2,Fri,Sep,9,Weekday
FCF98723EC5E90AF,docked_bike,9/25/2020 10:27,9/25/2020 10:48,Dorchester Ave & 49th St,416,State St & 33rd St,148,41.805772,-87.592464,41.834734,-87.625813,member,21,Fri,Sep,10,Weekday
E4557EB1C5C52DFF,docked_bike,9/25/2020 20:45,9/25/2020 20:57,Sedgwick St & Huron St,111,Mies van der Rohe Way & Chicago Ave,173,41.894666,-87.638437,41.89691,-87.621743,member,12,Fri,Sep,20,Weekday
275A5FF985F16EAC,electric_bike,8/28/2020 20:11,8/28/2020 21:24,Cottage Grove Ave & Oakwood Blvd,265,Wells St & Evergreen Ave,291,41.822935,-87.60707583,41.90652533,-87.635008,member,73,Fri,Aug,20,Weekday
F06F7CF431FEFA07,docked_bike,7/31/2020 13:21,7/31/2020 13:50,Broadway & Cornelia Ave,303,Montrose Harbor,249,41.945529,-87.646439,41.963982,-87.638181,casual,29,Fri,Jul,13,Weekday
8695F0460C09BC52,docked_bike,6/5/2020 13:03,6/5/2020 13:07,LaSalle Dr & Huron St,627,Clark St & Elm St,176,41.894877,-87.632326,41.902973,-87.63128,member,4,Fri,Jun,13,Weekday
9CBFDE8B7EC5D3A1,docked_bike,6/5/2020 8:48,6/5/2020 8:59,Lakeview Ave & Fullerton Pkwy,313,Sheffield Ave & Waveland Ave,114,41.925858,-87.638973,41.949399,-87.654529,member,11,Fri,Jun,8,Weekday
FAE5F57948855AF0,docked_bike,6/19/2020 12:23,6/19/2020 14:03,Chicago Ave & Dempster St,625,Milwaukee Ave & Cuyler Ave,589,42.041691,-87.680687,41.954468,-87.749594,casual,100,Fri,Jun,12,Weekday
5AA8C2FFA4FC767A,docked_bike,6/19/2020 10:22,6/19/2020 10:39,Halsted St & Maxwell St,282,Morgan St & 31st St,280,41.864883,-87.647071,41.8378,-87.65114,member,17,Fri,Jun,10,Weekday
6BD84F40577BFF17,docked_bike,8/7/2020 10:08,8/7/2020 10:18,Wood St & Hubbard St,285,Green St & Randolph St,112,41.889899,-87.671473,41.883668,-87.64867,casual,10,Fri,Aug,10,Weekday
88BD842EA27F1421,docked_bike,8/21/2020 22:08,8/21/2020 22:29,Lake Shore Dr & Wellington Ave,157,Broadway & Wilson Ave,293,41.936688,-87.636829,41.965221,-87.658139,casual,21,Fri,Aug,22,Weekday
C71C1FD3E139BC6C,docked_bike,8/28/2020 15:42,8/28/2020 16:28,Lake Shore Dr & Diversey Pkwy,329,Clarendon Ave & Junior Ter,245,41.932588,-87.636427,41.961004,-87.649603,member,46,Fri,Aug,15,Weekday
32C503CEBD1B91BA,docked_bike,11/20/2020 7:39,11/20/2020 7:51,Clybourn Ave & Division St,138,Wabash Ave & Wacker Pl,194,41.904613,-87.640552,41.886875,-87.62603,member,12,Fri,Nov,7,Weekday
52438A961440B317,docked_bike,7/24/2020 20:08,7/24/2020 20:30,Clifton Ave & Armitage Ave,223,Theater on the Lake,177,41.918216,-87.656936,41.926277,-87.630834,member,22,Fri,Jul,20,Weekday
581A93E5D3E55714,docked_bike,10/9/2020 15:33,10/9/2020 16:08,Wilton Ave & Belmont Ave,117,Desplaines St & Kinzie St,56,41.94018,-87.65304,41.88871604,-87.64444785,casual,35,Fri,Oct,15,Weekday
2B419175F01073E6,docked_bike,10/2/2020 19:07,10/2/2020 19:13,Clark St & Ida B Wells Dr,50,Wabash Ave & Roosevelt Rd,59,41.875932,-87.630584,41.867227,-87.625961,member,6,Fri,Oct,19,Weekday
DE1D8B48F0424D82,docked_bike,10/2/2020 17:47,10/2/2020 18:15,Michigan Ave & Pearson St,25,LaSalle St & Washington St,98,41.89766,-87.62351,41.882664,-87.63253,casual,28,Fri,Oct,17,Weekday
EE954EF7A26710DE,docked_bike,2/21/2020 16:34,2/21/2020 16:44,Michigan Ave & Washington St,43,Desplaines St & Randolph St,96,41.884,-87.6247,41.8846,-87.6446,member,10,Fri,Feb,16,Weekday
B121213894467E65,docked_bike,2/21/2020 18:10,2/21/2020 18:13,Aberdeen St & Monroe St,80,Peoria St & Jackson Blvd,134,41.8804,-87.6555,41.8776,-87.6496,member,3,Fri,Feb,18,Weekday
648E712886CAB417,docked_bike,2/7/2020 18:49,2/7/2020 18:55,Morgan St & Polk St,241,Canal St & Taylor St,414,41.8717,-87.651,41.8703,-87.6395,member,6,Fri,Feb,18,Weekday
05D376D921D54755,docked_bike,1/31/2020 1:21,1/31/2020 1:24,University Ave & 57th St,423,Woodlawn Ave & 55th St,248,41.7915,-87.5999,41.7953,-87.5965,member,3,Fri,Jan,1,Weekday
BACE3C88C2951213,docked_bike,1/3/2020 21:12,1/3/2020 21:21,California Ave & Division St,216,Albany Ave & Bloomingdale Ave,511,41.903,-87.6975,41.914,-87.7051,member,9,Fri,Jan,21,Weekday
4C1EB653232A3F56,docked_bike,8/7/2020 7:20,8/7/2020 7:52,Sheffield Ave & Waveland Ave,114,Western Ave & Division St,305,41.949399,-87.654529,41.902893,-87.687275,casual,32,Fri,Aug,7,Weekday
EB85668127CA27E0,docked_bike,8/14/2020 17:44,8/14/2020 17:52,McClurg Ct & Illinois St,26,Lake Shore Dr & Monroe St,76,41.890359,-87.617532,41.880958,-87.616743,casual,8,Fri,Aug,17,Weekday
8F2D23FB3CA4278F,docked_bike,8/21/2020 15:47,8/21/2020 15:59,Lake Shore Dr & North Blvd,268,Larrabee St & Webster Ave,144,41.911722,-87.626804,41.921822,-87.64414,member,12,Fri,Aug,15,Weekday
1818ECEE162F7BDA,docked_bike,9/18/2020 14:57,9/18/2020 15:28,Lake Shore Dr & Monroe St,76,Millennium Park,90,41.880958,-87.616743,41.881032,-87.624084,casual,31,Fri,Sep,14,Weekday
